isLock,isNew,folder,name,cateId,area,des,coverUrl,isfinsh
false,false,0081,YELLOW,1,日本漫画,《超电磁炮》的LAST OLDER和一方通行的短篇同人漫画。,http://imgs.juheapi.com/comic_xin/5559b86b38f275fd560ad872.jpg,1
false,false,0083,死神爱丽丝,1,日本漫画,死神爱丽丝漫画 ，活在黑暗世界的，楚楚可怜的少女……对被称作死的少女，抱有好感，命运的齿轮，就此开始转动……欢迎在新动漫漫画网观看死神爱丽丝漫画,http://imgs.juheapi.com/comic_xin/5559b86b38f275fd560ad916.jpg,1
false,false,0084,魔理爱丽的育儿故事,1,日本漫画,魔理爱丽的育儿故事漫画 ，魔理爱丽的育儿故事，东方同人本。欢迎在新动漫漫画网观看魔理爱丽的育儿故事漫画,http://imgs.juheapi.com/comic_xin/5559b86b38f275fd560ad8c9.jpg,1
false,false,0085,黑犬,1,,讲述前世传中恶魔七王的前世今生……,http://imgs.juheapi.com/comic_xin/5559b86b38f275fd560ad8eb.jpg,1
false,false,0086,不管王子殿下或南瓜马车,1,日本漫画,不管王子殿下或南瓜马车漫画 ，从一开始就不抱着任何期待，我别无所求。欢迎在新动漫漫画网观看不管王子殿下或南瓜马车漫画,http://imgs.juheapi.com/comic_xin/5559b86b38f275fd560ad955.jpg,1
false,false,0087,和你的初恋,1,日本漫画,和你的初恋漫画 ，这是你和我的初恋欢迎在新动漫漫画网观看和你的初恋漫画,http://imgs.juheapi.com/comic_xin/5559b86b38f275fd560ad959.jpg,1
false,false,0088,愿君寿千岁 髻首映此花,1,日本漫画,愿君寿千岁 髻首映此花漫画 ，这悲剧，周而复始。欢迎在新动漫漫画网观看愿君寿千岁 髻首映此花漫画,http://imgs.juheapi.com/comic_xin/5559b86b38f275fd560ad954.jpg,1
false,false,0089,雷和作业笔记,1,日本漫画,雷和作业笔记漫画 ，虽然在身边，但从来没有想过，会从现在这儿距离远去。欢迎在新动漫漫画网观看雷和作业笔记漫画,http://imgs.juheapi.com/comic_xin/5559b86b38f275fd560ad95f.jpg,1
false,false,0090,加贺嫁,1,日本漫画,加贺嫁漫画 ，人妻加贺的日常。欢迎在新动漫漫画网观看加贺嫁漫画,http://imgs.juheapi.com/comic_xin/5559b86b38f275fd560ad956.jpg,1
false,false,0091,胯下☆樱花香,1,日本漫画,胯下☆樱花香漫画 ，这是一篇带着淡雅樱花香的短篇漫画。欢迎在新动漫漫画网观看胯下☆樱花香漫画,http://imgs.juheapi.com/comic_xin/5559b86b38f275fd560ad958.jpg,1
false,false,0092,战争机器之破坏美学,1,欧美漫画,战争机器之破坏美学漫画 ，全球销量超过400万套的Xbox 360射击游戏大作《战争机器》豪华版赠送的画集《The Art of Gears of War》欢迎在新动漫漫画网观看战争机器之破坏美学漫画,http://imgs.juheapi.com/comic_xin/5559b86b38f275fd560ad952.jpg,1
false,false,0093,北之魔女与不死人偶,1,日本漫画,北之魔女与不死人偶漫画 ，发情的白熊女和腹黑女战士。欢迎在新动漫漫画网观看北之魔女与不死人偶漫画,http://imgs.juheapi.com/comic_xin/5559b86b38f275fd560ad962.jpg,1
false,false,0094,魔王艾蕾娜,1,日本漫画,魔王艾蕾娜漫画 ，魔王和勇者的心，难道永远没有相重合的一天吗？欢迎在新动漫漫画网观看魔王艾蕾娜漫画,http://imgs.juheapi.com/comic_xin/5559b86b38f275fd560ad957.jpg,1
false,false,0095,只要相互理解的话,1,日本漫画,只要相互理解的话漫画 ，モアイ第66回MANGA OPEN大赏百合漫画。欢迎在新动漫漫画网观看只要相互理解的话漫画,http://imgs.juheapi.com/comic_xin/5559b86b38f275fd560ad960.jpg,1
false,false,0096,我们的学而不杂同好会,1,日本漫画,我们的学而不杂同好会漫画 ，燃烧吧求知欲欢迎在新动漫漫画网观看我们的学而不杂同好会漫画,http://imgs.juheapi.com/comic_xin/5559b86b38f275fd560ad964.jpg,1
false,false,0097,优由的晚餐,1,日本漫画,优由的晚餐漫画 ，那个优由正在吃继母！欢迎在新动漫漫画网观看优由的晚餐漫画,http://imgs.juheapi.com/comic_xin/5559b86b38f275fd560ad961.jpg,1
false,false,0098,寄宿学校的朱丽叶,1,日本漫画,寄宿学校的朱丽叶漫画 ，2人的关系暴露就是死刑！秘密存在的时候，恋爱燃烧更激烈！欢迎在新动漫漫画网观看寄宿学校的朱丽叶漫画,http://imgs.juheapi.com/comic_xin/5559b86b38f275fd560ad963.jpg,1
false,false,0099,野生巫女灵梦桑,1,日本漫画,野生巫女灵梦桑漫画 ，东方同人，萌萌的巫女。欢迎在新动漫漫画网观看野生巫女灵梦桑漫画,http://imgs.juheapi.com/comic_xin/5559b86b38f275fd560ad975.jpg,1
false,false,0100,红浩克,1,欧美漫画,红浩克漫画 ，绿巨人布鲁斯·班纳的岳父霹雳将军罗斯Ross红巨人的故事，翁婿互掐，欢迎在新动漫漫画网观看红浩克漫画,http://imgs.juheapi.com/comic_xin/5559b86c38f275fd560ad998.jpg,1
false,false,0101,UNDEADS,2,日本漫画,偶像大师的同人漫画。,http://imgs.juheapi.com/comic_xin/5559b8e338f275fd560b07db.jpg,1
false,false,0102,温泉女将一直线,2,日本漫画,"温泉女将一直线漫画 ，CELICA...是传说中不管任何新车都赢不了的街道赛车手，被人唤做“超音速的2T-G”。而且虽然夕香很有原则的坚持着家训。忍人所不能忍，耐人所不能耐。却总有人要让她最终忍无可忍。于是,以飞车的名义，各种离奇怪诞的故事，就在汤之里上演了。 初看名字，《温泉女将一直线》是无论如何，都无法让人联想到和飙车有关的，我初看到这漫画的时候，险些误以为是某部同样描写温泉的H漫了。故事中，因为背景设定，故事情节的需要，多有露点的镜头。（恩，所谓的服务大众吧。），不过，这并不影响其本身的可看性，剧情风格走的是诙谐的搞笑路线。故事都是围绕着来到汤之里或度假或逃亡，或求助的人们而展开的。整个汤之里，不但老板娘不是正常人物。那些女侍们，也都是暴走党出身，在被追杀而无家可归之后，被夕香所收留的人众。夕香带领着这些女孩们，用温泉般温暖的真诚，抚慰着客人们的心灵......... 欢迎在新动漫漫画网观看温泉女将一直线漫画",http://imgs.juheapi.com/comic_xin/5559b8e338f275fd560b07d5.jpg,1
false,false,0103,访问者,2,日本漫画,新人奖短篇,http://imgs.juheapi.com/comic_xin/5559b8e438f275fd560b07fc.jpg,1
false,false,0104,勇午-洞爷湖高峰会篇,2,日本漫画,勇午-洞爷湖高峰会篇漫画 ，国际通缉的恐怖份子．许克尔搭乘的飞机在成田机场降落。警方为了掌握恐怖计画的整个内容而淮许他入境日本。此时，勇午接受了俄罗斯总统前任首席顾问夫人的委託。请他去交涉以防止他遭人杀害──距离洞爷湖G8高峰会开幕还剩下２星期！欢迎在新动漫漫画网观看勇午-洞爷湖高峰会篇漫画,http://imgs.juheapi.com/comic_xin/5559b8e538f275fd560b081d.jpg,1
false,false,0105,厕所里的魔鬼子,2,日本漫画,迷雾重重的魔鬼子为人所知之处 便是在游廊那的女厕所里 厕所里的魔鬼子同学……就在，这里哦！ 备受瞩目的天才漫画家献上的短篇少女系恐怖学园漫画。,http://imgs.juheapi.com/comic_xin/5559b8e638f275fd560b0847.jpg,1
false,false,0106,黑色剪刀,2,日本漫画,卷起名为疯狂的漩涡的意识流故事 ——将日常剪碎。,http://imgs.juheapi.com/comic_xin/5559b8e638f275fd560b0852.jpg,1
false,false,0107,赌王斗千王,2,日本漫画,"赌王斗千王漫画 ，對人性充滿好奇的江藤到拉斯維加斯觀光時遇上職業賭徒的北島。兩個類型完全不同的人想是不會有任何牽扯,卻奇妙地結成一種亦師亦友的互動關係。他們沒有可以回去的地方,賭場就是他們唯一的生存場所！欢迎在新动漫漫画网观看赌王斗千王漫画",http://imgs.juheapi.com/comic_xin/5559b8e638f275fd560b0862.jpg,1
false,false,0108,小喵叶,2,日本漫画,小喵叶漫画 ，暴君生日快乐~~~~魔法少女奈叶同人，这本事讲述菲特酱面前突然出现了一只长着猫耳的小奈叶的故事~欢迎在新动漫漫画网观看小喵叶漫画,http://imgs.juheapi.com/comic_xin/5559b8e638f275fd560b0864.jpg,1
false,false,0109,洗礼,2,日本漫画,洗礼漫画 ，着名的女明星应为害怕岁月带来的衰老，预备了一个“女儿”，进行换脑手术。十分诡异的题材，但结局是绝对出于意料的。在此卖个关子。虽然题材的诡异和不可思议，但排除所谓换脑手术的可实行性，其余所有的情节安排十分之合理和符合逻辑，这样说的前提是需要读者有绝对仔细的观察力，和细致的阅读。欢迎在新动漫漫画网观看洗礼漫画,http://imgs.juheapi.com/comic_xin/5559b8e738f275fd560b0877.jpg,1
false,false,0110,为食神探,2,日本漫画,为食神探漫画 ，大嚼受害者家中冰箱內的菜肴，细细品尝杀人现场的寿司……吃完再推理，推理完再吃。一个脑筋灵活、思路清晰的大胃王，突破传统框框、别具一格的为食神探！欢迎在新动漫漫画网观看为食神探漫画,http://imgs.juheapi.com/comic_xin/5559b8e638f275fd560b086a.jpg,1
false,false,0111,永远於少女,2,日本漫画,永远於少女漫画，屋簷下的百合靈[百合会汉化],http://imgs.juheapi.com/comic_xin/5559b8e738f275fd560b0882.jpg,1
false,false,0112,异度幻听,2,日本漫画,四季大赏优秀短篇。,http://imgs.juheapi.com/comic_xin/5559b8e738f275fd560b088d.jpg,1
false,false,0113,昆虫末日R,2,日本漫画,"一家制药公司——帝拜德生化,开发的一种能改变昆虫基因的病毒培奈德病毒,原用意是希望能產生有益的蛋白质,没想到实验结果出乎预期,感染的昆虫成长的异常巨大、兇残,令实验人员不得向政府发布微生物灾害警报。政府第一时间封锁了整个城市,禁止居民进出该区,导致伤亡不断扩大。而政府在处理此事的效率也显得异常迅速。没想到这一切事情的背后隐藏着更重大的阴谋。.....",http://imgs.juheapi.com/comic_xin/5559b8e738f275fd560b0891.jpg,1
false,false,0114,星球大战-西斯复仇,2,欧美漫画,星球大战-西斯复仇漫画 ，星战III电影改编小说，同时发行硬壳精装本和有声朗读CD/磁带。作者是Matthew Stover，他写的几本星战小说都以风格黑暗著称，因而被赋予了星战III电影改编小说的重任。和前两部星战电影改编小说一样，星战III电影改编小说也包含了大量未能展现于电影屏幕上的情节。更重要的是，小说将深入剖析角色的内心。欢迎在新动漫漫画网观看星球大战-西斯复仇漫画,http://imgs.juheapi.com/comic_xin/5559b8e738f275fd560b08a1.jpg,1
false,false,0115,危险调查员,2,日本漫画,男主角平贺。太一。奇顿父亲是动物学家母亲是英国人五岁的时候父母亲离婚，母亲带着他到伦敦读书，长大后考入牛津大学考古系，跟一位美丽优秀的女同学结婚，生下一女，但是由于他的优柔寡断，最后两人处于离婚状态，后来奇顿为了锻炼自己投入英军，考上SAS部队还当上求生技术教官，以优异成绩结业，由于在牛津大学从师尤里。史考特相信多瑙河文明起源说，而老师被学界斥为异端，奇顿也找不到一所大学承认他的硕士论文，只好到处应征短期讲师，兼职当保险调查员，由于其渊博的考古知识跟军旅历练，一一度过许多难关跟危机，完成许多案子。 　　非常好看的一套漫画喔，漫画的场景横跨伦敦日本德国罗马尼亚伊拉克以色列到新疆各地，在各种案件当中，看起来像是侦探小说又像是一套考古发现之旅，更重要是每回探触到人类文明起源的思考，回到一种尊敬自然的感觉。(本漫画内容介绍由xindm.cn整理提供),http://imgs.juheapi.com/comic_xin/5559b8e738f275fd560b089c.jpg,1
false,false,0116,皇家特工-解密档案,2,欧美漫画,皇家特工-解密档案漫画 ，是一个关于英国秘密情报局（SIS，又称军情六局MI6）的故事。但是，假如你期待的是007这样的跑车随便开，公款随便花，美女随便上的故事，那么请你不要看这本书，因为这里面没有英俊的孤胆英雄，也没有华丽的追汽车炸基地。在这个后冷战世界，间谍题材仿佛也失去了惊险刺激的迷人光环，还原到了低调而干脆的风格，毕竟这才是“斗篷与匕首”的本色。这篇《解密档案》是一个以香港回归为背景的中篇，但却并没有花笔墨在回归上：交接仪式前几天，SIS驻香港情报站的二号特工被人谋杀。总部于是派人前去调查，案情本身也并不复杂，很快就解决了——但是案件之外，当时当地的张力却超越了故事本身。这是《皇家特工》系列的前传之一，讲的是汤姆·华莱士加入SIS不久的事情——正传里汤姆已经当上科长啦，保罗也如愿以偿的当上了处长，但还是对他一手拉扯大的特勤科抓得非常紧。故事里的“特勤科”一般来说是三人小组，其中的特工以“守护人”为代号。他们的行动并不一定意味着跟踪、窃听、暗杀，可能只是平凡的案件；而且除了敌特、恐怖分子等明显的敌人之外，内部的矛盾和官僚也许才是最要命的。欢迎在新动漫漫画网观看皇家特工-解密档案漫画,http://imgs.juheapi.com/comic_xin/5559b8e738f275fd560b0894.jpg,1
